# Searching for substation nr  1489.2 in v2.temperature.inv
# OSLO-BLINDERN       NORWAY    (NORWAY)
# coordinates:  59.95N,   10.72E,   94m
# Near WMO station code:  1489.2 OSLO-BLINDERN                 
# institution :: NOAA/NCEI
# source_url :: https://www.ncdc.noaa.gov/ghcnm/v2.php
# contact_email :: NCDC.GHCNM@noaa.gov.
# retrieved :: Wed Oct  3 21:39:03 MEST 2018
# references :: Peterson, T.C., and R.S. Vose, 1997: An overview of the Global Historical Climatology Network temperature database.Bulletin of the American Meteorological Society, 78 (12), 2837-2849
# station_name :: OSLO-BLINDERN
# station_country :: NORWAY
# station_code :: 1489.2
# latitude ::   59.95 degrees_north
# longitude ::   10.72 degrees_east
# elevation ::       94 m
# climexp_url :: https://climexp.knmi.nl/getprcpall.cgi?WMO=1489.2
# prcp from v2.prcp [mm/month]
 1866   61.4   68.9   13.8    5.7   24.8  112.8   29.0  130.5  193.8    9.1   32.6   35.8
 1867   33.8   74.1   36.6   61.1   25.8   53.6   62.3   61.2   75.8   55.9   19.3   45.1
 1868   53.4   35.1   88.1   37.6   27.4   37.5   33.3   77.0   49.6   78.3   15.9   69.5
 1869   57.8   35.9   20.4   22.8   56.7   66.2   34.6   46.5   51.9   24.3   44.0   38.0
 1870   45.0   24.4   28.8   22.4   28.9   51.6   34.7   31.9   52.4   40.1   53.8   28.6
 1871   23.4   39.4   11.5   10.7    5.1   21.1  135.7   25.5   22.3   51.6   25.1   25.8
 1872   70.8   32.2   21.7   49.7   50.4  104.1   50.7  122.9   85.3  123.2   58.6   44.8
 1873   64.1   10.2   19.8    4.2   56.7   51.0   59.5  104.6   95.5   58.3   39.0   14.3
 1874   24.2   14.3   30.0   33.4   14.7   20.2  109.5   53.2   91.5   97.8   21.2   11.9
 1875   53.1    8.5   18.9   23.4   32.2   36.5   47.6   48.0   12.8   43.4   25.7   17.9
 1876    9.7   30.2   62.5   22.5    8.5   32.3   31.3   44.3  101.6   63.2   12.2   22.4
 1877   76.6   35.6   17.5   13.6   23.1   95.9   80.4  151.6   37.8   54.4  126.7   33.3
 1878   10.0   11.6   27.2    2.6   76.2   79.6    9.8   60.2   46.8   94.4   41.9   21.5
 1879    9.5   21.0   22.7    9.6   47.4   72.4   96.0   39.2  204.8   52.4   15.2   11.1
 1880    5.2   42.7    7.9   21.6    4.0   21.6  173.8   12.5   56.4    6.6   34.3   53.2
 1881    5.6   11.9   22.3    5.1   36.2   41.6   74.8  102.2   62.9   28.6   60.9   51.0
 1882   32.2   22.2   37.6   59.4   54.9   81.0  172.7   75.4   82.8  100.1   54.4   31.0
 1883   35.5   37.2    0.0   34.5   46.0   83.3  107.8   63.5  100.3   57.0  127.5   23.3
 1884   39.8   22.1   39.6   11.6   59.9   38.7   71.2    6.7   57.6   29.9   19.3   46.8
 1885   27.4   85.4   13.7   26.7   67.1   34.9   49.6   91.7   70.9   86.4   33.1   10.2
 1886   42.2   13.0   36.9   55.5   44.1   58.3   93.2   19.2   21.0   53.8   74.8   55.5
 1887   39.0   12.7   25.5   39.1   55.1   15.5   86.2   59.0  124.2   17.8   37.3   44.0
 1888   30.3   18.2   19.8   17.8   53.0   21.2   97.1   84.9   27.6   37.3   10.7   36.2
 1889    6.6   18.6   25.8    8.4   21.1    5.0   90.2   75.0   53.2   68.4   40.4   15.8
 1890   54.8    0.8   46.4   58.6   51.7   50.1   64.0  115.0   18.5   77.5   83.4    6.6
 1891   49.7    8.1   15.0    8.9   54.6   23.8   72.4   51.8   48.7  130.0   45.3   46.2
 1892   26.5   17.9    7.1   32.1   14.4   36.7   67.1  110.0   55.6   79.1   43.6   16.2
 1893   68.3   33.5    9.9    9.5   30.3   34.7   78.1   47.3   68.9   60.0   31.6  105.3
 1894   52.0   23.0   32.6   57.7   68.1   60.2   52.4  105.4   25.9   13.1   86.4   50.3
 1895   23.1    6.8   75.0   54.8   60.3   87.9  106.1  116.5   36.9   76.5   59.5   37.6
 1896   20.3    9.1   68.3   44.1   15.3   53.0   49.6   47.3   84.6  171.3   29.3   31.2
 1897   20.9   13.5   79.6   42.9   86.8   40.9   20.2  215.4  158.7   53.9   56.4  140.3
 1898   28.5   34.7   37.3   27.9   90.3   46.2  167.7  199.3   35.1   55.6   30.6   46.7
 1899   52.9   59.3   31.0   59.3   39.9   48.8   20.7   14.3   76.6   56.5   64.9   47.6
 1900   37.7   39.7   21.0   74.0   60.5   32.1  130.2  111.0   26.6   49.2   50.3   38.6
 1901   29.9   39.0   67.5   40.0   45.0   90.9   10.4  139.2   14.8  131.1    5.7  111.8
 1902   22.1   23.4   56.3   22.5   23.8    6.9   82.8  205.9   21.7   69.5   25.1   16.9
 1903   46.8   29.9   80.0   45.0   37.5   31.1   80.5  167.9   30.8  165.3   26.2   78.0
 1904   46.8   50.7   55.0   78.8   40.0   20.7   11.5   70.2   36.5   61.6   14.8   35.1
 1905    3.9   18.2   87.5   51.3   35.0   84.0   39.1   77.1  155.0   54.7   43.3   14.3
 1906   54.6   37.7   21.3   16.3   57.5   38.0   36.8  116.2   17.1   88.9   74.1   28.6
 1907   40.3   44.2   53.8   53.8   47.5  103.5   96.6   73.6   29.6  148.2   75.2  113.1
 1908   22.1   75.4   52.5   47.5   60.0   50.6  111.6  156.4   85.5    5.7   37.6   62.4
 1909   27.3   23.4   32.5   52.5   73.8   61.0   95.5  128.8  100.3  184.7   22.8  115.7
 1910   39.1   95.5   36.6   96.6   87.7   42.1   60.5  129.6   25.8   86.2   94.1   50.6
 1911   42.6   54.1   34.4   71.0   36.6   37.8   35.6   33.5   73.9   71.7   84.0  100.1
 1912    5.8   32.2   82.1    8.9   58.8   76.7   35.6  195.5   29.1   72.8   58.2   97.8
 1913   38.0   19.6   32.2   35.5   75.5   55.1   65.9   84.2   25.8   19.0   96.3   73.6
 1914   17.3   59.8   81.0   45.5   58.8   38.9   40.0   65.9   35.8   21.3   26.9  131.1
 1915   78.2   71.3   21.1   36.6    4.4   27.0  182.5  112.3   73.9   13.4   71.7   44.9
 1916   78.2   54.1   56.6   40.0   57.7  115.6   73.4   58.3   22.4  109.8  115.4   89.7
 1917   12.7    8.1   35.5   33.3   18.9   63.7   19.4  197.6   49.3   86.2   45.9   18.4
 1918   49.5   32.2    5.6   43.3   11.1   90.7  103.7   88.6  146.7   81.8   32.5   61.0
 1919   81.7    9.2   46.6   42.2   18.9   48.6   34.6   71.3   63.8   34.7   73.9   42.6
 1920  118.5   52.9   71.0  126.5   92.1   55.1  121.0   97.2   80.6    1.1   17.9   29.9
 1921   67.9   24.2   16.7    2.2   64.4   31.3   42.1   92.9   28.0   26.9   13.4   50.6
 1922   24.2   36.8   32.2   45.5   43.3   40.0  158.8  113.4   32.5   29.1   31.4   70.2
 1923   65.6   13.8   44.4   33.3   73.3   14.0   42.1  103.7  122.1  173.6   90.7   19.6
 1924   65.6   21.9   25.5   20.0   81.0  116.6  108.0  169.6  104.2  137.8   28.0   66.7
 1925   38.0   44.9   30.0   31.1  108.8   36.7   98.3   59.4   75.0   87.4   56.0   70.2
 1926   61.0   41.4   11.1   28.9  119.9  131.8   99.4   87.5   51.5   43.7  149.0   15.0
 1927  136.9   95.5  122.1   27.8   27.8  130.7   92.9  106.9  144.5   86.2   44.8    4.6
 1928   66.7   87.4   27.8   22.2   21.1   37.8   57.2  142.6   33.6  140.0   89.6   25.3
 1929   12.7   15.0    4.4   24.4   86.6   78.8   30.2  160.9   35.8  156.8  153.4  120.8
 1930  109.3    8.1   26.6   48.8   59.9   57.2  138.2   82.1  105.3   78.4   78.4   82.8
 1931   58.7   75.9   15.5   55.5  102.1   15.1  124.2   91.8   23.5   30.2  100.8   41.4
 1932   56.4    5.8   27.8   61.1   52.2   48.6   95.0   69.1  105.3  135.5   96.3   75.9
 1933   55.2   55.2   33.3   14.4   36.6   65.9   72.4   70.2   38.1  173.6    4.5    1.2
 1934   90.9   16.1   65.5   66.6   65.5   58.3   74.5  111.2  115.4   59.4   63.8  179.4
 1935   42.6   65.6   55.5   68.8    1.1   81.0   43.2   19.4  164.6  183.7   96.3   98.9
 1936  119.6   17.3   21.1   50.0   17.8   46.4   92.9  133.9   45.9   48.2   41.4   84.0
 1937   46.0   38.0   40.0   55.0   74.0   79.0   36.0   34.0  121.0   32.0   14.0   77.0
